City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Iguape,24,BR,1553365277,94,-24.7,-47.56,79.87,6.98
Atuona,68,PF,1553365277,100,-9.8,-139.03,82.12,16.49
Thyboron,0,DK,1553365205,82,56.7,8.21,43.0,1.01
Kodiak,90,US,1553365104,29,39.95,-94.76,53.6,11.41
Kapaa,75,US,1553365093,73,22.08,-159.32,73.4,19.46
Lavrentiya,92,RU,1553365278,100,65.58,-170.99,14.17,10.0
Nikolskoye,90,RU,1553365236,86,59.7,30.79,37.99,8.95
Praia,75,BR,1553360400,57,-20.25,-43.81,80.6,8.05
Hilo,75,US,1553365102,77,19.71,-155.08,72.0,5.82
Bartica,75,GY,1553364000,46,6.41,-58.62,89.6,13.87
Tasiilaq,20,GL,1553363400,56,65.61,-37.64,15.8,14.99
Henties Bay,0,NA,1553364128,88,-22.12,14.28,63.0,8.99
Bluff,0,AU,1553365283,89,-23.58,149.07,70.24,3.74
Airai,32,TL,1553365284,88,-8.93,125.41,70.24,1.61
West Plains,40,US,1553364962,47,36.73,-91.85,57.99,10.29
Punta Arenas,20,CL,1553364798,71,-53.16,-70.91,55.4,8.05
Ushuaia,20,AR,1553360400,81,-54.81,-68.31,53.6,3.36
Salalah,40,OM,1553359800,74,17.01,54.1,80.6,10.29
Strezhevoy,0,RU,1553362200,86,60.73,77.6,28.4,4.47
Souillac,0,FR,1553365269,34,45.6,-0.6,66.99,5.82
Barrow,0,AR,1553365285,48,-38.31,-60.23,79.42,21.41
Hermanus,64,ZA,1553364960,84,-34.42,19.24,72.0,3.62
Peleduy,44,RU,1553365122,60,59.63,112.75,11.56,7.99
Yulara,56,AU,1553364000,36,-25.24,130.99,80.6,10.29
Castro,75,CL,1553364000,67,-42.48,-73.76,59.0,5.82
Bubaque,8,GW,1553365286,80,11.28,-15.83,84.19,5.86
Puerto Ayora,20,EC,1553364955,70,-0.74,-90.35,86.0,11.41
Mataura,64,NZ,1553365206,90,-46.19,168.86,55.99,2.73
Whitefish,1,US,1553365222,56,48.41,-114.33,52.0,2.73
Christchurch,0,NZ,1553365099,93,-43.53,172.64,62.01,2.24
East London,0,ZA,1553364000,83,-33.02,27.91,75.2,13.87
Cravo Norte,12,CO,1553365287,37,6.3,-70.2,97.42,8.55
Igunga,24,TZ,1553365287,81,-4.28,33.88,70.69,6.2
Jamestown,92,AU,1553364896,93,-33.21,138.6,63.22,7.76
Geraldton,5,CA,1553364000,17,49.72,-86.95,46.4,16.11
Kamenka,64,RU,1553364663,73,53.19,44.05,37.0,9.1
Quatre Cocos,75,MU,1553365140,83,-20.21,57.76,80.6,10.29
Timizart,0,DZ,1553364906,70,36.8,4.25,55.99,5.01
Mayor Pablo Lagerenza,20,PY,1553365146,79,-19.93,-60.77,86.98,4.63
Cape Town,0,ZA,1553365278,82,-33.93,18.42,72.0,9.17
Hit,44,IQ,1553365292,60,33.64,42.83,58.0,9.22
Hithadhoo,68,MV,1553364999,100,-0.6,73.08,86.89,7.31
Rikitea,32,PF,1553365292,98,-23.12,-134.97,79.33,18.95
Dingle,68,PH,1553365182,77,11.0,122.67,77.08,12.12
Ust-Kuyga,0,RU,1553365292,28,70.0,135.55,-20.22,2.73
Mehran,90,IR,1553360400,70,33.12,46.17,48.2,4.7
Albany,40,US,1553365276,50,42.65,-73.75,39.99,26.4
Murwillumbah,0,AU,1553365236,88,-28.33,153.4,75.2,8.05
Vaini,0,IN,1553365293,85,15.34,74.49,69.97,3.06
Merauke,56,ID,1553365294,100,-8.49,140.4,75.82,4.52
Khatanga,0,RU,1553365294,48,71.98,102.47,-16.44,3.18
